Time: 0.99 min, Glucose Level: 101.109 mg/dL
Time: 1.99 min, Glucose Level: 102.215 mg/dL
Time: 2.99 min, Glucose Level: 103.319 mg/dL
Time: 3.99 min, Glucose Level: 104.42 mg/dL
Time: 4.99 min, Glucose Level: 105.52 mg/dL
Time: 5.99 min, Glucose Level: 106.616 mg/dL
Time: 6.99 min, Glucose Level: 107.71 mg/dL
Time: 7.99 min, Glucose Level: 108.802 mg/dL
Time: 8.99 min, Glucose Level: 109.891 mg/dL
Time: 9.99 min, Glucose Level: 110.978 mg/dL
Time: 10.99 min, Glucose Level: 112.062 mg/dL
Time: 11.99 min, Glucose Level: 113.143 mg/dL
Time: 12.99 min, Glucose Level: 114.222 mg/dL
Time: 13.99 min, Glucose Level: 115.298 mg/dL
Time: 14.99 min, Glucose Level: 116.372 mg/dL
Time: 15.99 min, Glucose Level: 117.443 mg/dL
Time: 16.99 min, Glucose Level: 118.511 mg/dL
Time: 17.99 min, Glucose Level: 119.577 mg/dL
Time: 18.99 min, Glucose Level: 120.639 mg/dL
Time: 19.99 min, Glucose Level: 121.699 mg/dL
Time: 20.99 min, Glucose Level: 122.756 mg/dL
Time: 21.99 min, Glucose Level: 123.81 mg/dL
Time: 22.99 min, Glucose Level: 124.861 mg/dL
Time: 23.99 min, Glucose Level: 125.909 mg/dL
Time: 24.99 min, Glucose Level: 126.954 mg/dL
Time: 25.99 min, Glucose Level: 127.996 mg/dL
Time: 26.99 min, Glucose Level: 129.034 mg/dL
Time: 27.99 min, Glucose Level: 130.069 mg/dL
Time: 28.99 min, Glucose Level: 131.101 mg/dL
Time: 29.99 min, Glucose Level: 132.13 mg/dL
Time: 30.99 min, Glucose Level: 133.155 mg/dL
Time: 31.99 min, Glucose Level: 134.176 mg/dL
Time: 32.99 min, Glucose Level: 135.194 mg/dL
Time: 33.99 min, Glucose Level: 136.209 mg/dL
Time: 34.99 min, Glucose Level: 137.219 mg/dL
Time: 35.99 min, Glucose Level: 138.226 mg/dL
Time: 36.99 min, Glucose Level: 139.229 mg/dL
Time: 37.99 min, Glucose Level: 140.228 mg/dL
Time: 38.99 min, Glucose Level: 141.223 mg/dL
Time: 39.99 min, Glucose Level: 142.214 mg/dL
Time: 40.99 min, Glucose Level: 143.201 mg/dL
Time: 41.99 min, Glucose Level: 144.184 mg/dL
Time: 42.99 min, Glucose Level: 145.162 mg/dL
Time: 43.99 min, Glucose Level: 146.136 mg/dL
Time: 44.99 min, Glucose Level: 147.106 mg/dL
Time: 45.99 min, Glucose Level: 148.071 mg/dL
Time: 46.99 min, Glucose Level: 149.031 mg/dL
Time: 47.99 min, Glucose Level: 149.987 mg/dL
Time: 48.99 min, Glucose Level: 150.938 mg/dL
Time: 49.99 min, Glucose Level: 151.885 mg/dL
Time: 50.99 min, Glucose Level: 152.826 mg/dL
Time: 51.99 min, Glucose Level: 153.763 mg/dL
Time: 52.99 min, Glucose Level: 154.694 mg/dL
Time: 53.99 min, Glucose Level: 155.621 mg/dL
Time: 54.99 min, Glucose Level: 156.542 mg/dL
